name,address,city,state,zipCode,phoneNumber,email,totalBeds,availableBeds,description
Emergency Housing Center - San Jose Services North,2891 Cedar St,San Jose,CA,88298,262-281-2438,contact37@shelter.org,20,0,Scraped-style dataset with room availability restored.
Salvation Army - Columbus Mission,8693 3rd St,Columbus,OH,78706,346-850-6094,contact38@shelter.org,41,8,Scraped-style dataset with room availability restored.
City Shelter - Denver Shelter East,9231 Cedar St,Denver,CO,12127,989-529-8300,contact39@shelter.org,77,10,Scraped-style dataset with room availability restored.
Rescue Mission - Philadelphia Center West,5395 Broad St,Philadelphia,PA,36670,467-618-9882,contact40@shelter.org,15,0,Scraped-style dataset with room availability restored.
Family Shelter Network - Indianapolis Mission East,4977 2nd St,Indianapolis,IN,21779,397-974-9316,contact41@shelter.org,32,0,Scraped-style dataset with room availability restored.
Transitional Housing Program - Columbus Mission West,4112 Broad St,Columbus,OH,59126,767-286-2418,contact42@shelter.org,89,15,Scraped-style dataset with room availability restored.
Emergency Housing Center - Portland Shelter,7701 Market St,Portland,OR,75235,981-247-4887,contact43@shelter.org,74,10,Scraped-style dataset with room availability restored.
Hope Center - Washington Center,307 Oak St,Washington,DC,96683,433-945-2498,contact44@shelter.org,82,1,Scraped-style dataset with room availability restored.
Emergency Housing Center - Nashville Mission South,371 Market St,Nashville,TN,17145,753-416-1383,contact45@shelter.org,34,4,Scraped-style dataset with room availability restored.
City Shelter - Portland Mission West,842 2nd St,Portland,OR,75289,529-327-9563,contact46@shelter.org,23,5,Scraped-style dataset with room availability restored.
Safe Haven - Washington Shelter,1069 Pine St,Washington,DC,10073,494-328-5063,contact47@shelter.org,21,7,Scraped-style dataset with room availability restored.
Transitional Housing Program - Denver Program,1411 Walnut St,Denver,CO,73294,389-620-7717,contact48@shelter.org,70,6,Scraped-style dataset with room availability restored.
Union Gospel Mission - Jacksonville Center West,1587 3rd St,Jacksonville,FL,58815,430-290-3263,contact49@shelter.org,26,2,Scraped-style dataset with room availability restored.
Open Door Mission - San Antonio Center West,1918 Maple St,San Antonio,TX,69426,693-283-3599,contact50@shelter.org,18,8,Scraped-style dataset with room availability restored.
Family Shelter Network - Phoenix Program South,6622 Pine St,Phoenix,AZ,98978,906-717-2345,contact51@shelter.org,41,9,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Jose Shelter East,4491 Cedar St,San Jose,CA,27462,506-641-8752,contact52@shelter.org,37,6,Scraped-style dataset with room availability restored.
Open Door Mission - Los Angeles Services North,1886 Maple St,Los Angeles,CA,68265,262-757-3865,contact53@shelter.org,35,11,Scraped-style dataset with room availability restored.
Family Shelter Network - Seattle Program North,1619 Main St,Seattle,WA,16939,430-688-6463,contact54@shelter.org,110,27,Scraped-style dataset with room availability restored.
Community Shelter - Portland Program,8386 Walnut St,Portland,OR,93243,472-875-2220,contact55@shelter.org,27,3,Scraped-style dataset with room availability restored.
Transitional Housing Program - Columbus Services,5288 Oak St,Columbus,OH,97337,769-506-8436,contact56@shelter.org,88,35,Scraped-style dataset with room availability restored.
Emergency Housing Center - Washington Center West,835 Broad St,Washington,DC,93136,484-991-1078,contact57@shelter.org,85,24,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Jose Center South,8279 Market St,San Jose,CA,15004,890-873-8807,contact58@shelter.org,99,14,Scraped-style dataset with room availability restored.
Urban Shelter - San Francisco Mission South,5861 Walnut St,San Francisco,CA,44078,564-421-5482,contact59@shelter.org,27,2,Scraped-style dataset with room availability restored.
Safe Haven - Boston Services East,3688 Cedar St,Boston,MA,55779,461-306-9707,contact60@shelter.org,75,17,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Chicago Program West,5497 3rd St,Chicago,IL,59039,287-853-3287,contact61@shelter.org,52,18,Scraped-style dataset with room availability restored.
Family Shelter Network - New York Program North,5988 Cedar St,New York,NY,82987,774-360-6645,contact62@shelter.org,71,27,Scraped-style dataset with room availability restored.
City Shelter - New York Mission East,2672 Maple St,New York,NY,46795,228-510-5637,contact63@shelter.org,55,20,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Francisco Shelter North,7889 2nd St,San Francisco,CA,91643,905-805-4196,contact64@shelter.org,33,9,Scraped-style dataset with room availability restored.
Transitional Housing Program - Detroit Center,8634 Main St,Detroit,MI,24689,352-951-2858,contact65@shelter.org,83,24,Scraped-style dataset with room availability restored.
Transitional Housing Program - Jacksonville Services East,313 2nd St,Jacksonville,FL,31344,288-557-3087,contact66@shelter.org,82,35,Scraped-style dataset with room availability restored.
Salvation Army - San Antonio Services South,726 2nd St,San Antonio,TX,80886,507-809-2034,contact67@shelter.org,88,31,Scraped-style dataset with room availability restored.
Urban Shelter - Seattle Program South,6176 Main St,Seattle,WA,62064,348-993-9088,contact68@shelter.org,83,15,Scraped-style dataset with room availability restored.
Salvation Army - Los Angeles Shelter South,7355 Main St,Los Angeles,CA,31580,339-779-2029,contact69@shelter.org,47,19,Scraped-style dataset with room availability restored.
Faith Shelter - Chicago Mission South,5974 Main St,Chicago,IL,88860,502-363-1649,contact70@shelter.org,49,9,Scraped-style dataset with room availability restored.
Union Gospel Mission - Portland Mission North,6763 Market St,Portland,OR,41117,614-513-6596,contact71@shelter.org,27,11,Scraped-style dataset with room availability restored.
City Shelter - Houston Mission,8365 Pine St,Houston,TX,19966,330-659-8249,contact72@shelter.org,91,39,Scraped-style dataset with room availability restored.
Safe Haven - San Francisco Services,535 Maple St,San Francisco,CA,28255,606-581-8866,contact73@shelter.org,66,15,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Austin Program East,6146 Pine St,Austin,TX,50235,732-246-2166,contact74@shelter.org,105,7,Scraped-style dataset with room availability restored.
Open Door Mission - Phoenix Center West,6984 Maple St,Phoenix,AZ,69789,211-565-7906,contact75@shelter.org,104,34,Scraped-style dataset with room availability restored.
Faith Shelter - Chicago Program South,4159 Cedar St,Chicago,IL,15286,648-660-5269,contact76@shelter.org,81,3,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Jose Program,8775 2nd St,San Jose,CA,13620,283-541-1991,contact77@shelter.org,118,51,Scraped-style dataset with room availability restored.
Hope Center - Columbus Services North,5685 Broad St,Columbus,OH,18521,497-974-9422,contact78@shelter.org,108,9,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Boston Shelter South,4547 Broad St,Boston,MA,99322,648-811-9150,contact79@shelter.org,88,29,Scraped-style dataset with room availability restored.
Open Door Mission - Portland Center East,6597 Elm St,Portland,OR,91271,500-460-3366,contact80@shelter.org,27,6,Scraped-style dataset with room availability restored.
Urban Shelter - Chicago Shelter East,9405 Broad St,Chicago,IL,75288,877-408-8154,contact81@shelter.org,119,6,Scraped-style dataset with room availability restored.
Union Gospel Mission - Denver Shelter North,5155 Cedar St,Denver,CO,85120,534-978-1269,contact82@shelter.org,43,3,Scraped-style dataset with room availability restored.
Urban Shelter - Portland Mission East,8260 Market St,Portland,OR,48580,560-651-9286,contact83@shelter.org,110,34,Scraped-style dataset with room availability restored.
City Shelter - Los Angeles Services,4981 2nd St,Los Angeles,CA,46551,235-471-5080,contact84@shelter.org,16,6,Scraped-style dataset with room availability restored.
City Shelter - Charlotte Services,1690 Market St,Charlotte,NC,82165,963-723-8705,contact85@shelter.org,105,37,Scraped-style dataset with room availability restored.
Urban Shelter - Charlotte Shelter,6707 Main St,Charlotte,NC,91207,959-445-4204,contact86@shelter.org,94,5,Scraped-style dataset with room availability restored.
Rescue Mission - Philadelphia Program South,2507 Maple St,Philadelphia,PA,85000,731-526-5821,contact87@shelter.org,16,4,Scraped-style dataset with room availability restored.
Family Shelter Network - Charlotte Mission South,6967 Maple St,Charlotte,NC,14680,789-376-1726,contact88@shelter.org,105,38,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Antonio Services West,843 Broad St,San Antonio,TX,52434,526-707-1544,contact89@shelter.org,66,28,Scraped-style dataset with room availability restored.
Union Gospel Mission - Charlotte Services West,5320 Cedar St,Charlotte,NC,67829,556-750-9440,contact90@shelter.org,66,20,Scraped-style dataset with room availability restored.
City Shelter - Detroit Services North,7039 Maple St,Detroit,MI,72353,284-382-4490,contact91@shelter.org,15,6,Scraped-style dataset with room availability restored.
Family Shelter Network - Indianapolis Center North,895 3rd St,Indianapolis,IN,84869,638-824-5485,contact92@shelter.org,120,35,Scraped-style dataset with room availability restored.
Faith Shelter - Jacksonville Services,1352 Pine St,Jacksonville,FL,78039,772-769-5989,contact93@shelter.org,79,8,Scraped-style dataset with room availability restored.
Hope Center - Jacksonville Center West,3586 3rd St,Jacksonville,FL,15301,897-214-3008,contact94@shelter.org,23,10,Scraped-style dataset with room availability restored.
Faith Shelter - San Jose Mission,9366 Walnut St,San Jose,CA,78163,981-845-1800,contact95@shelter.org,96,3,Scraped-style dataset with room availability restored.
Union Gospel Mission - Jacksonville Shelter,1962 Main St,Jacksonville,FL,21634,995-983-8720,contact96@shelter.org,97,40,Scraped-style dataset with room availability restored.
Open Door Mission - Charlotte Services South,6656 Broad St,Charlotte,NC,70154,484-297-2120,contact97@shelter.org,66,18,Scraped-style dataset with room availability restored.
Veterans Outreach - Jacksonville Program,4139 Pine St,Jacksonville,FL,29312,417-659-9676,contact98@shelter.org,93,32,Scraped-style dataset with room availability restored.
Salvation Army - San Antonio Mission West,3879 Maple St,San Antonio,TX,44390,697-526-4141,contact99@shelter.org,88,31,Scraped-style dataset with room availability restored.
Emergency Housing Center - Boston Center West,1805 Market St,Boston,MA,92895,585-639-3898,contact100@shelter.org,98,2,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Indianapolis Shelter West,1221 Market St,Indianapolis,IN,88681,630-695-9852,contact101@shelter.org,80,19,Scraped-style dataset with room availability restored.
Hope Center - Denver Shelter East,2193 Oak St,Denver,CO,59490,491-610-7838,contact102@shelter.org,52,7,Scraped-style dataset with room availability restored.
City Shelter - Seattle Center,9801 3rd St,Seattle,WA,51660,324-704-1148,contact103@shelter.org,74,17,Scraped-style dataset with room availability restored.
Salvation Army - Los Angeles Program East,8431 Cedar St,Los Angeles,CA,91323,448-733-9047,contact104@shelter.org,97,21,Scraped-style dataset with room availability restored.
Family Shelter Network - Jacksonville Program,1457 Broad St,Jacksonville,FL,44338,806-681-8691,contact105@shelter.org,59,9,Scraped-style dataset with room availability restored.
Transitional Housing Program - Detroit Program,3993 2nd St,Detroit,MI,50871,479-370-1300,contact106@shelter.org,19,4,Scraped-style dataset with room availability restored.
Hope Center - San Jose Services South,1772 Maple St,San Jose,CA,91709,755-727-8638,contact107@shelter.org,74,1,Scraped-style dataset with room availability restored.
Open Door Mission - Austin Services East,2078 Elm St,Austin,TX,18335,616-832-4292,contact108@shelter.org,20,0,Scraped-style dataset with room availability restored.
Urban Shelter - Indianapolis Program East,7115 Market St,Indianapolis,IN,39670,428-235-1386,contact109@shelter.org,100,33,Scraped-style dataset with room availability restored.
Family Shelter Network - San Jose Mission West,8632 2nd St,San Jose,CA,20006,778-709-7133,contact110@shelter.org,105,27,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Houston Mission,8991 2nd St,Houston,TX,74943,432-393-4322,contact111@shelter.org,115,9,Scraped-style dataset with room availability restored.
Community Shelter - Columbus Center West,4023 Main St,Columbus,OH,92761,212-819-7191,contact112@shelter.org,74,12,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Los Angeles Mission South,263 Maple St,Los Angeles,CA,84056,754-741-9843,contact113@shelter.org,97,30,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Seattle Shelter South,3474 Oak St,Seattle,WA,90270,567-529-4017,contact114@shelter.org,114,2,Scraped-style dataset with room availability restored.
City Shelter - Detroit Services West,886 Market St,Detroit,MI,36998,864-812-6313,contact115@shelter.org,77,29,Scraped-style dataset with room availability restored.
Hope Center - Nashville Services,7572 3rd St,Nashville,TN,33020,245-242-3663,contact116@shelter.org,29,3,Scraped-style dataset with room availability restored.
Community Shelter - Boston Services West,5108 Walnut St,Boston,MA,32688,400-557-7399,contact117@shelter.org,18,0,Scraped-style dataset with room availability restored.
Urban Shelter - Columbus Program South,8842 3rd St,Columbus,OH,62941,601-323-8546,contact118@shelter.org,56,15,Scraped-style dataset with room availability restored.
Salvation Army - Boston Shelter South,8476 Pine St,Boston,MA,48824,806-951-6703,contact119@shelter.org,117,22,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Francisco Program South,7172 Broad St,San Francisco,CA,44547,618-512-8238,contact120@shelter.org,107,47,Scraped-style dataset with room availability restored.
Salvation Army - Boston Center South,5729 Maple St,Boston,MA,97636,441-971-6114,contact121@shelter.org,68,21,Scraped-style dataset with room availability restored.
Rescue Mission - Los Angeles Mission East,2767 Maple St,Los Angeles,CA,74205,618-591-4321,contact122@shelter.org,45,9,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Columbus Program South,1719 Walnut St,Columbus,OH,92039,816-732-3585,contact123@shelter.org,68,15,Scraped-style dataset with room availability restored.
Open Door Mission - San Antonio Center West,2822 Pine St,San Antonio,TX,97375,277-892-3042,contact124@shelter.org,26,3,Scraped-style dataset with room availability restored.
Rescue Mission - Jacksonville Mission North,316 Cedar St,Jacksonville,FL,68791,780-714-8711,contact125@shelter.org,111,45,Scraped-style dataset with room availability restored.
Union Gospel Mission - New York Mission West,5046 Market St,New York,NY,58239,453-619-8930,contact126@shelter.org,56,11,Scraped-style dataset with room availability restored.
Salvation Army - Nashville Mission South,631 Cedar St,Nashville,TN,22280,636-352-2037,contact127@shelter.org,79,24,Scraped-style dataset with room availability restored.
Community Shelter - Phoenix Program North,6473 Pine St,Phoenix,AZ,15806,695-321-2492,contact128@shelter.org,76,27,Scraped-style dataset with room availability restored.
Urban Shelter - Dallas Program West,5675 3rd St,Dallas,TX,33015,881-281-1729,contact129@shelter.org,49,14,Scraped-style dataset with room availability restored.
Faith Shelter - Philadelphia Center North,2498 Cedar St,Philadelphia,PA,88152,736-549-6766,contact130@shelter.org,103,34,Scraped-style dataset with room availability restored.
Family Shelter Network - Chicago Center South,1292 Market St,Chicago,IL,34688,241-857-1627,contact131@shelter.org,45,6,Scraped-style dataset with room availability restored.
Safe Haven - Charlotte Program East,3833 Market St,Charlotte,NC,78797,598-299-3927,contact132@shelter.org,97,33,Scraped-style dataset with room availability restored.
Safe Haven - San Antonio Shelter North,1781 Pine St,San Antonio,TX,86431,486-521-1429,contact133@shelter.org,109,18,Scraped-style dataset with room availability restored.
Union Gospel Mission - Houston Mission East,3518 3rd St,Houston,TX,36886,288-802-4437,contact134@shelter.org,74,21,Scraped-style dataset with room availability restored.
Hope Center - Phoenix Services,6871 Main St,Phoenix,AZ,93746,473-761-8860,contact135@shelter.org,93,27,Scraped-style dataset with room availability restored.
Emergency Housing Center - Charlotte Center East,6130 Main St,Charlotte,NC,51476,868-824-6728,contact136@shelter.org,19,6,Scraped-style dataset with room availability restored.
Hope Center - San Francisco Mission South,5312 Walnut St,San Francisco,CA,21380,201-901-8373,contact137@shelter.org,20,4,Scraped-style dataset with room availability restored.
Family Shelter Network - San Diego Services West,5280 Cedar St,San Diego,CA,90533,560-765-6900,contact138@shelter.org,64,17,Scraped-style dataset with room availability restored.
Emergency Housing Center - Columbus Center South,4894 Walnut St,Columbus,OH,71419,816-450-5424,contact139@shelter.org,87,27,Scraped-style dataset with room availability restored.
Safe Haven - Denver Services North,7607 Cedar St,Denver,CO,12260,705-303-5269,contact140@shelter.org,113,18,Scraped-style dataset with room availability restored.
Family Shelter Network - Dallas Center West,2995 Cedar St,Dallas,TX,91193,631-588-3756,contact141@shelter.org,88,23,Scraped-style dataset with room availability restored.
Faith Shelter - Philadelphia Program East,3986 Maple St,Philadelphia,PA,41170,869-549-1427,contact142@shelter.org,16,1,Scraped-style dataset with room availability restored.
City Shelter - Washington Center North,9622 Oak St,Washington,DC,59917,835-481-2120,contact143@shelter.org,93,17,Scraped-style dataset with room availability restored.
Family Shelter Network - Dallas Services North,169 Cedar St,Dallas,TX,67758,208-202-8101,contact144@shelter.org,90,19,Scraped-style dataset with room availability restored.
Urban Shelter - Boston Shelter North,4417 Pine St,Boston,MA,84596,764-274-2459,contact145@shelter.org,76,10,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Houston Program North,240 Broad St,Houston,TX,54292,256-292-8474,contact146@shelter.org,71,22,Scraped-style dataset with room availability restored.
Emergency Housing Center - Denver Mission West,8413 Pine St,Denver,CO,69243,995-561-7640,contact147@shelter.org,51,1,Scraped-style dataset with room availability restored.
Veterans Outreach - New York Mission West,6487 2nd St,New York,NY,77638,789-323-1886,contact148@shelter.org,119,2,Scraped-style dataset with room availability restored.
Community Shelter - Austin Program,6478 2nd St,Austin,TX,37889,844-513-9187,contact149@shelter.org,23,7,Scraped-style dataset with room availability restored.
Rescue Mission - Phoenix Mission South,5490 Broad St,Phoenix,AZ,43560,545-502-7634,contact150@shelter.org,109,41,Scraped-style dataset with room availability restored.
Open Door Mission - New York Program South,7994 2nd St,New York,NY,90088,964-964-2096,contact151@shelter.org,117,32,Scraped-style dataset with room availability restored.
Salvation Army - Jacksonville Program South,1957 Maple St,Jacksonville,FL,56633,349-444-8326,contact152@shelter.org,118,24,Scraped-style dataset with room availability restored.
Rescue Mission - Phoenix Program South,5641 Main St,Phoenix,AZ,25883,245-670-9310,contact153@shelter.org,29,0,Scraped-style dataset with room availability restored.
Salvation Army - Phoenix Program North,785 Market St,Phoenix,AZ,25009,442-880-5631,contact154@shelter.org,52,5,Scraped-style dataset with room availability restored.
Salvation Army - Dallas Mission South,2474 3rd St,Dallas,TX,12597,585-303-6576,contact155@shelter.org,49,20,Scraped-style dataset with room availability restored.
Community Shelter - Boston Program,2365 Main St,Boston,MA,75142,255-205-4971,contact156@shelter.org,33,7,Scraped-style dataset with room availability restored.
Safe Haven - Philadelphia Services West,9041 Maple St,Philadelphia,PA,48574,467-589-2568,contact157@shelter.org,59,11,Scraped-style dataset with room availability restored.
Family Shelter Network - Phoenix Services South,382 Cedar St,Phoenix,AZ,40401,731-217-9852,contact158@shelter.org,69,31,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Baltimore Services,1490 Pine St,Baltimore,MD,79548,288-831-7126,contact159@shelter.org,84,18,Scraped-style dataset with room availability restored.
Community Shelter - Jacksonville Shelter,4261 Oak St,Jacksonville,FL,11709,659-458-6553,contact160@shelter.org,42,0,Scraped-style dataset with room availability restored.
Community Shelter - Phoenix Program,1034 Broad St,Phoenix,AZ,18760,976-529-7708,contact161@shelter.org,74,21,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Austin Mission West,2878 2nd St,Austin,TX,36728,242-394-5423,contact162@shelter.org,25,4,Scraped-style dataset with room availability restored.
City Shelter - Detroit Program North,8676 Maple St,Detroit,MI,74096,560-881-5113,contact163@shelter.org,95,14,Scraped-style dataset with room availability restored.
Salvation Army - Detroit Shelter East,5747 Maple St,Detroit,MI,63094,961-879-5186,contact164@shelter.org,99,37,Scraped-style dataset with room availability restored.
Transitional Housing Program - Nashville Center,2058 Main St,Nashville,TN,45862,645-298-7787,contact165@shelter.org,31,0,Scraped-style dataset with room availability restored.
Veterans Outreach - Baltimore Mission East,7298 Pine St,Baltimore,MD,32250,966-862-6415,contact166@shelter.org,91,23,Scraped-style dataset with room availability restored.
Hope Center - Indianapolis Center South,196 Market St,Indianapolis,IN,29014,674-893-4541,contact167@shelter.org,72,21,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Jose Shelter South,4792 2nd St,San Jose,CA,73250,462-405-6014,contact168@shelter.org,28,5,Scraped-style dataset with room availability restored.
Faith Shelter - Dallas Program,8684 Main St,Dallas,TX,54326,568-330-9504,contact169@shelter.org,106,1,Scraped-style dataset with room availability restored.
Community Shelter - Dallas Center,6786 Pine St,Dallas,TX,77144,705-922-6203,contact170@shelter.org,99,10,Scraped-style dataset with room availability restored.
Hope Center - Denver Shelter West,5067 Market St,Denver,CO,20391,834-526-1942,contact171@shelter.org,53,21,Scraped-style dataset with room availability restored.
Salvation Army - Chicago Shelter West,3562 Main St,Chicago,IL,18767,995-395-3122,contact172@shelter.org,97,0,Scraped-style dataset with room availability restored.
Hope Center - Jacksonville Services East,4741 Broad St,Jacksonville,FL,96482,724-780-8801,contact173@shelter.org,61,23,Scraped-style dataset with room availability restored.
Hope Center - Indianapolis Mission North,7496 Main St,Indianapolis,IN,29960,875-714-7292,contact174@shelter.org,51,18,Scraped-style dataset with room availability restored.
Union Gospel Mission - Denver Services West,4533 3rd St,Denver,CO,71101,243-707-2916,contact175@shelter.org,85,2,Scraped-style dataset with room availability restored.
Faith Shelter - San Francisco Center North,5690 Maple St,San Francisco,CA,78488,230-881-7132,contact176@shelter.org,102,17,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Los Angeles Program,5390 Oak St,Los Angeles,CA,49061,222-637-4377,contact177@shelter.org,72,21,Scraped-style dataset with room availability restored.
Veterans Outreach - Dallas Center East,1181 Walnut St,Dallas,TX,97107,742-488-8601,contact178@shelter.org,103,15,Scraped-style dataset with room availability restored.
Rescue Mission - Dallas Mission South,6810 Main St,Dallas,TX,42239,633-737-1077,contact179@shelter.org,68,10,Scraped-style dataset with room availability restored.
Open Door Mission - San Antonio Services South,2994 3rd St,San Antonio,TX,12020,676-590-1570,contact180@shelter.org,44,8,Scraped-style dataset with room availability restored.
Union Gospel Mission - Nashville Center North,6791 Maple St,Nashville,TN,37334,309-703-8466,contact181@shelter.org,78,25,Scraped-style dataset with room availability restored.
Transitional Housing Program - Phoenix Mission East,8062 Maple St,Phoenix,AZ,76852,830-757-2533,contact182@shelter.org,103,34,Scraped-style dataset with room availability restored.
Veterans Outreach - Indianapolis Program North,8141 Cedar St,Indianapolis,IN,92200,264-825-1471,contact183@shelter.org,110,42,Scraped-style dataset with room availability restored.
Veterans Outreach - Boston Shelter,6095 Maple St,Boston,MA,65246,669-571-7296,contact184@shelter.org,71,16,Scraped-style dataset with room availability restored.
Hope Center - Washington Program West,9181 Market St,Washington,DC,82440,267-342-9854,contact185@shelter.org,54,22,Scraped-style dataset with room availability restored.
Safe Haven - Nashville Center North,2277 Main St,Nashville,TN,50186,439-550-4056,contact186@shelter.org,64,10,Scraped-style dataset with room availability restored.
Family Shelter Network - Jacksonville Program South,9902 Market St,Jacksonville,FL,58388,525-219-6852,contact187@shelter.org,24,2,Scraped-style dataset with room availability restored.
Emergency Housing Center - Austin Mission North,1083 Walnut St,Austin,TX,88764,410-717-3452,contact188@shelter.org,87,5,Scraped-style dataset with room availability restored.
